name,model,url
Solo Soundbar,850858,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-solo-soundbar-ii.html#v=bose_solo_soundbar_ii_black
Smart Soundbar System,858459,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-smart-soundbar-system.html#v=bose_smart_soundbar_system_black
CineMate GS Series 2 Digital Home Theater Speaker System,323023,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/cinemate_gs_series2.html
321 GSX Series 3 DVD Home Entertainment System,312518,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321gsx_series3.html#v=321gsx_series3_black
321 GS Series 3 DVD Home Entertainment System,312515,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321gs_series3.html#v=321gs_series3_graphite
321 Series 3 system,312515,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321_series3.html#v=321_series3_graphite
321 GS Series 2 DVD Home Entertainment System,289769,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321gs_series2.html#v=321gs_series2_graphite
321 Series 2 DVD Home Entertainment System,289769,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321_series2.html#v=321_series2_graphite
321 GSX DVD Home Entertainment System,282434,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321gsx_series1.html#v=321gsx_series1_graphite
321 GS Home Entertainment System,271966,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321gs_series1.html#v=321_gs_dvd_he_sys_grpht_r2_230v
321 Home Entertainment System,271966,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/321gs_series1.html#v=321_gs_dvd_he_sys_grpht_r2_230v
Acoustimass 5 Series 5 Stereo Speaker System,719714,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/acoustimass-5-speaker-system.html
Acoustimass 5 Series 3 Speaker System,196451,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/am5_series3.html
Acoustimass 5 Series 2 Speaker System,142218,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/am5_series2.html
Acoustimass 5 Speaker System,133314,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/am5_series1.html#v=am5_series1_black
Acoustimass 7 Home Theater Speakers,187564,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/am7.html#v=am7_black
Acoustimass 3 Series 5 Stereo Speaker System,719704,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/acoustimass-3-speaker-system.html
Acoustimass 3 Series 4 Speaker System,252171,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/am3_series4.html
Acoustimass 3 Series 3 Speaker System,172825,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/am3_series3.html
